Hour,Microgrid,DER,Type,P_kW,Q_kvar,Rating_kVA
18,MG4,stor105,Battery,-0.0,-0.0,1200.0
18,MG4,gen1011,Diesel_grid_forming,972.1191869228544,312.8736144529929,1200.0
19,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
19,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
19,MG1,mg1_gen3,Battery,98.80004595365624,5.19787076505053e-05,100.0
19,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
19,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
19,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
19,MG2,mg2_gen3,Battery,49.400034736397735,1.9919162367386866e-05,50.0
19,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
19,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
19,MG3,stor42,Battery,-0.0,-0.0,1200.0
19,MG3,gen401,Diesel,-0.0,-0.0,1200.0
19,MG4,stor105,Battery,-0.0,-0.0,1200.0
19,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
20,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
20,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
20,MG1,mg1_gen3,Battery,-0.0,-0.0,100.0
20,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
20,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
20,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
20,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
20,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
20,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
20,MG3,stor42,Battery,-0.0,-0.0,1200.0
20,MG3,gen401,Diesel,-0.0,-0.0,1200.0
20,MG4,stor105,Battery,-0.0,-0.0,1200.0
20,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
21,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
21,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
21,MG1,mg1_gen3,Battery,-0.0,-0.0,100.0
21,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
21,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
21,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
21,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
21,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
21,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
21,MG3,stor42,Battery,-0.0,-0.0,1200.0
21,MG3,gen401,Diesel,-0.0,-0.0,1200.0
21,MG4,stor105,Battery,-0.0,-0.0,1200.0
21,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
22,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
22,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
22,MG1,mg1_gen3,Battery,-29.473970846387555,-0.00031065371478598543,100.0
22,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
22,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
22,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
22,MG2,mg2_gen3,Battery,-14.73703321115562,-0.0001959667100987872,50.0
22,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
22,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
22,MG3,stor42,Battery,-0.0,-0.0,1200.0
22,MG3,gen401,Diesel,-0.0,-0.0,1200.0
22,MG4,stor105,Battery,-0.0,-0.0,1200.0
22,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
